,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
1671,4bb144,THY4,Turkey,-64.1218,49.1185,10058.4,False,311.72,42.32,0.0,10302.24,1656442561,THY,Turkish Airlines,U,BOEING,777 3F2ER,L2J,777-3,486.0,"(49.1185, -64.1218)",Gaspe,Quebec,Gaspesie-Iles-de-la-Madeleine,CA
1672,4bb141,THY11,Turkey,1.3627,50.7942,10363.2,False,243.36,294.34,0.0,10698.48,1656442561,THY,Turkish Airlines,U,BOEING,777 3F2ER,L2J,777-3,486.0,"(50.7942, 1.3627)",Le Portel,Nord-Pas-de-Calais,Departement du Pas-de-Calais,FR
1673,4bb142,THY55,Turkey,82.5322,13.1688,9144.0,False,262.74,296.77,0.0,9631.68,1656442561,THY,Turkish Airlines,U,BOEING,777 3F2ER,L2J,777-3,486.0,"(13.1688, 82.5322)",Kattivakkam,Tamil Nadu,Thiruvallur,IN
1674,4067d6,VIR127C,United Kingdom,-73.7695,40.6293,,True,5.14,264.38,,,1656442561,VIR,Virgin Atlantic Airways,P,AIRBUS,AIRBUS A330-343,L2J,A330-3,347.0,"(40.6293, -73.7695)",Inwood,New York,Nassau County,US
1675,a5aa3a,UAL1193,United States,-87.3638,34.0923,10980.42,False,213.44,238.3,-0.33,11590.02,1656442561,UAL,United Airlines,U,AIRBUS INDUSTRIE,A320-232,L2J,A320,200.0,"(34.0923, -87.3638)",Double Springs,Alabama,Winston County,US
1676,40072b,EXS3MB,United Kingdom,4.3084,46.3717,9753.6,False,218.83,348.61,0.33,10172.7,1656442561,EXS,Jet2.com,B,BOEING,BOEING 737-33V,L2J,737-3,152.9,"(46.3717, 4.3084)",Charolles,Bourgogne,Departement de Saone-et-Loire,FR
1677,c06366,POE248,Canada,-75.2025,45.4779,1905.0,False,111.29,250.56,-5.85,1981.2,1656442561,POE,Porter Airlines,P,DE HAVILLAND CANADA,DHC-8-402 (Dehavilland),L2T,Q-400,70.0,"(45.4779, -75.2025)",Bourget,Ontario,,CA
1678,4baa0d,THY79M,Turkey,23.7304,46.0852,10066.02,False,233.54,135.0,0.0,10553.7,1656442561,THY,Turkish Airlines,U,AIRBUS,A320 232,L2J,A320,164.0,"(46.0852, 23.7304)",Berghin,Alba,Comuna Berghin,RO
1679,3c0aca,CFG827,Germany,24.2529,45.1706,10972.8,False,223.57,300.87,0.0,11452.86,1656442561,CFG,Condor Flugdienst,P,,,,,180.0,"(45.1706, 24.2529)",Olanesti,Valcea,Oras Baile Olanesti,RO
1680,aa7e7b,UAL358,United States,-121.1051,37.1511,8900.16,False,254.41,103.92,6.18,9342.12,1656442561,UAL,United Airlines,U,BOEING,737-800,L2J,737-8,189.0,"(37.1511, -121.1051)",Gustine,California,Merced County,US
1681,aa7e7a,UAL2269,United States,-78.8375,36.0551,2484.12,False,134.56,170.54,-5.2,2628.9,1656442561,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(36.0551, -78.8375)",Gorman,North Carolina,Durham County,US
1682,8963eb,UAE79Y,United Arab Emirates,27.4925,43.5299,12496.8,False,261.17,125.94,0.33,12954.0,1656442561,UAE,Emirates,U,AIRBUS,A380 861,L4J,A380-8,492.0,"(43.5299, 27.4925)",Vulchidol,Varna,,BG
1683,c0635c,POE1458,Canada,-86.3311,47.5004,7307.58,False,158.95,289.08,0.33,7421.88,1656442561,POE,Porter Airlines,P,DE HAVILLAND CANADA,DHC-8-402 (Dehavilland),L2T,Q-400,70.0,"(47.5004, -86.3311)",Munising,Michigan,Alger County,US
1684,a95745,AAL2760,United States,-96.9612,32.5755,11285.22,False,238.68,31.87,0.0,11917.68,1656442561,AAL,American Airlines,P,AIRBUS,A319-115,L2J,A319,147.0,"(32.5755, -96.9612)",Cedar Hill,Texas,Dallas County,US
1685,a04937,,United States,-121.4011,38.6736,335.28,False,42.26,273.49,-2.6,335.28,1656442561,,FlyMontserrat,P,CESSNA,150L,,150L,2.0,"(38.6736, -121.4011)",North Highlands,California,Sacramento County,US
